"Alter","Geschlecht","Beruf","Bruttoeinkommen","Vermoegen","Kredithoehe","Kreditausfall"
56,"Mann","Angestellter",75211.86,163228.679315841,10114.7,0
39,"Frau","Angestellter",44027.15,303989.788081465,26303.09,0
53,"Mann","Angestellter",99461.6,333251.735725653,13128.74,0
26,"Mann","Selbstständiger",22508.3,130392.771616405,23811.27,1
74,"Frau","Rentner",11825.29,37585.4323669189,23811.9,1
40,"Mann","Angestellter",73287.27,239018.217374496,365.39,0
51,"Frau","Beamter",58821.86,251602.372437398,227.51,0
28,"Mann","Angestellter",174527.31,177931.013720718,72688.06,0
49,"Mann","Angestellter",51256.51,219110.96385813,25052.13,0
53,"Mann","Angestellter",27175.5,126805.162766357,23811.28,0
44,"Mann","Angestellter",72062.34,162382.170001895,34854.98,0
28,"Mann","Angestellter",53759.38,125727.659198343,7308.41,1
37,"Mann","Angestellter",57066.44,228062.114520868,34180.92,0
62,"Mann","Angestellter",141808.45,229765.506061811,100,0
68,"Frau","Rentner",16728.69,70487.5194289033,23811.52,1
21,"Frau","Angestellter",141361.85,122007.139762985,44194.99,0
36,"Frau","Beamter",82064.75,206370.363818913,49238.77,0
50,"Mann","Angestellter",161678.01,364630.229173451,4281.73,0
73,"Mann","Rentner_Pension",63431.64,208248.185724298,29342.98,0
27,"Frau","Selbstständiger",38556.8,170960.759488384,23810.6,1
53,"Mann","Angestellter",91469.81,154766.973851912,46662.81,0
59,"Frau","Angestellter",70489.02,170829.057362134,41996.93,1
33,"Mann","Angestellter",47525.1,186903.543333918,19942.68,0
25,"Mann","Angestellter",117729.45,144813.443890628,69176.51,0
47,"Frau","Angestellter",67206.68,190738.73946423,17319.01,0
45,"Frau","Angestellter",61850.15,239766.760814398,32416.82,0
49,"Frau","Angestellter",50705.25,132682.107209671,6725.87,1
20,"Mann","Angestellter",77429.07,110326.235715338,43817.75,0
78,"Frau","Rentner",6538.17,52109.6265090212,23811.23,1
72,"Mann","Rentner",14093.71,44637.7236358758,23811.7,1
53,"Frau","Angestellter",38691.76,108490.904707535,23811.3,0
43,"Mann","Angestellter",80859.09,257143.65277094,5054.41,0
70,"Mann","Rentner",19125.7,74808.0443034843,23809.64,0
52,"Mann","Angestellter",87205.39,159801.117622198,51607.7,0
54,"Frau","Angestellter",91772.43,158126.334592058,55029.33,0
60,"Mann","Angestellter",67035.77,108064.077570996,9020.31,0
59,"Mann","Angestellter",76204.06,107336.536859325,24078.42,1
58,"Mann","Selbstständiger",84592.28,205142.01117142,15448.07,1
48,"Frau","Angestellter",112480.74,196837.336124054,21450.81,0
61,"Mann","Angestellter",55083.01,104859.108370211,5183.51,0
38,"Mann","Angestellter",47114.31,188862.278876923,26459.92,1
53,"Frau","Angestellter",56962.58,135668.283604253,28135.2,0
27,"Frau","Selbstständiger",62987.17,70503.8216909689,15758.82,1
62,"Mann","Angestellter",80024.15,70894.7783429588,8407.63,0
35,"Frau","Angestellter",22237.58,222028.986984361,23810.14,0
43,"Frau","Angestellter",38555.33,156621.147507595,23810.91,1
55,"Frau","Angestellter",43003.75,127172.792590565,24661.22,1
64,"Mann","Selbstständiger",86174.76,117014.536771044,7119.79,1
59,"Mann","Angestellter",89910.27,235203.875540635,40981.29,0
51,"Mann","Selbstständiger",37582.79,167235.563993973,23811.64,1
52,"Frau","Angestellter",89408.28,198540.441786643,50986.68,0
60,"Mann","Angestellter",72416.53,121536.092994986,26516.76,0
41,"Mann","Angestellter",34577.02,156341.866259418,23811.61,0
37,"Mann","Angestellter",42996.94,77740.7079559593,25528.64,1
32,"Mann","Angestellter",37446.5,133651.247410648,23811.87,1
29,"Frau","Angestellter",37210.68,74974.0415215546,23810.83,1
29,"Mann","Selbstständiger",111913.41,143647.309526913,172.82,0
68,"Frau","Rentner",26242.82,54020.7672697903,23808.07,1
54,"Frau","Angestellter",35516.27,87127.1470702935,23811.51,1
64,"Mann","Selbstständiger",44365.57,153775.26568364,16926.35,1
28,"Mann","Angestellter",60465.34,75001.9177285008,23864,1
44,"Mann","Angestellter",64349.93,142879.520034595,2989.53,0
48,"Frau","Angestellter",33045.94,161765.557683464,23810.75,0
39,"Frau","Angestellter",28130.53,218911.589150358,23811.61,1
21,"Frau","Angestellter",83115.63,92514.1431055036,40290.87,0
40,"Mann","Angestellter",18771.24,68801.165249832,23811.86,0
39,"Mann","Selbstständiger",88106.89,203751.709259273,5047.42,1
43,"Mann","Angestellter",43424.64,160649.835960723,25471.56,0
65,"Mann","Rentner",22210.97,83493.8344356787,23811.51,1
43,"Mann","Angestellter",39925.03,203567.483244279,23722.52,0
52,"Frau","Angestellter",74595.89,204673.990255429,5715,0
52,"Frau","Angestellter",27537.07,99035.4745284964,23811.74,1
42,"Mann","Angestellter",149440.96,350526.619204079,8050.91,0
41,"Mann","Angestellter",37453.06,187818.754238183,23811.12,0
35,"Frau","Angestellter",28940.75,95305.6151833619,23811.89,1
44,"Mann","Angestellter",47161.9,190813.272171264,25824.71,0
26,"Frau","Beamter",110055.8,319120.964241317,40219.64,0
59,"Mann","Angestellter",51475.53,62066.1247656799,15892.11,1
55,"Mann","Angestellter",34282.07,137813.484759806,23809.52,0
29,"Frau","Angestellter",50286.29,43155.9289606227,23302.96,1
58,"Mann","Selbstständiger",81206,141353.221150676,23233.68,1
45,"Mann","Angestellter",38803.77,161963.77096356,23811.93,1
48,"Frau","Angestellter",33387.6,132530.828161615,23811.42,1
41,"Frau","Angestellter",140320.85,348409.564150485,42906.56,0
50,"Mann","Angestellter",91059.19,175715.75423914,25280.04,0
18,"Mann","Angestellter",58889.35,67920.3423421112,20861.05,1
41,"Frau","Selbstständiger",100899.64,249942.967908701,8579.85,0
21,"Mann","Angestellter",72442.3,93002.1607943299,39553.39,0
51,"Mann","Angestellter",36207.72,103019.560033492,23811.58,1
59,"Frau","Angestellter",80332.01,136048.616179059,44047.27,0
54,"Frau","Angestellter",49883.85,86099.034264215,15581.4,1
54,"Frau","Angestellter",47259.49,175118.372024877,20986.96,0
39,"Mann","Angestellter",157018.91,354467.918823125,3178.02,0
61,"Frau","Selbstständiger",47101.68,112219.18817542,22941.7,1
62,"Frau","Angestellter",99906.26,193917.839146807,2655.91,0
35,"Mann","Beamter",75233.95,164769.219823102,12268.47,0
64,"Mann","Angestellter",111950.53,109928.856775583,5031.15,0
59,"Frau","Angestellter",59173.62,111265.731481673,34233.27,1
60,"Mann","Angestellter",34657.85,58802.6117505306,23810.53,1
41,"Frau","Selbstständiger",66394.38,542415.927790077,38359.52,0
56,"Mann","Angestellter",121127.78,156057.143371252,51492.65,0
46,"Mann","Angestellter",65247.47,152092.528772448,33313.25,1
57,"Frau","Angestellter",32545.09,166986.497230887,23807.07,1
67,"Mann","Rentner",16417.62,39193.364407054,23811.47,1
45,"Mann","Angestellter",90194.7,272315.542471979,51347.4,0
55,"Frau","Angestellter",77058.06,188961.546419472,45405.36,0
39,"Mann","Angestellter",164236.68,378810.748412928,91192.4,0
62,"Frau","Angestellter",71673.47,187891.576082003,41681.29,0
35,"Frau","Angestellter",72663.73,131400.151455956,40159.75,1
41,"Mann","Angestellter",55663.29,186428.047818478,11387.4,0
51,"Mann","Beamter",70950.11,219023.444284336,4594.64,0
35,"Frau","Angestellter",51057.14,84599.336575927,25132.05,1
34,"Mann","Angestellter",84074.51,168545.742675696,17724.59,0
38,"Frau","Angestellter",77106.68,199423.238463787,2624.22,0
53,"Mann","Angestellter",54926.57,201665.946679815,17426.94,0
25,"Mann","Angestellter",28864.99,57206.6644259688,23809.9,1
39,"Frau","Angestellter",80566.25,322576.484052824,39763.08,0
49,"Mann","Angestellter",60716.51,152710.592995004,22817.75,0
36,"Mann","Angestellter",52231.06,116151.41443735,7375.95,0
43,"Frau","Angestellter",108090.05,219899.131616301,16401.39,0
50,"Mann","Angestellter",65792.1,138652.916166174,39437.84,0
51,"Mann","Selbstständiger",46144.87,244670.510363845,27678.45,1
68,"Mann","Rentner",8468.5,21029.0529672245,23811.15,1
38,"Frau","Angestellter",24207.95,75550.2025562205,23809.82,1
41,"Frau","Angestellter",49150.72,187304.215200008,24290.25,1
40,"Mann","Angestellter",79508.23,309646.824077088,474.59,0
65,"Frau","Rentner",30873.04,59115.3860271144,23811.29,1
31,"Frau","Angestellter",101006.37,150050.91355623,3302.36,0
25,"Mann","Angestellter",110770.96,69836.0208826848,246.07,0
42,"Frau","Angestellter",66236.21,193448.68429541,9917.62,0
41,"Mann","Angestellter",45505.72,107660.978696198,24987.43,1
63,"Frau","Selbstständiger",77673.09,83521.6620039037,23647.97,1
27,"Frau","Angestellter",147003.33,119921.486612167,58182.18,0
70,"Frau","Rentner",21038.31,67822.1422249881,23811.81,1
59,"Frau","Angestellter",47102.91,177134.642353029,26795.8,0
57,"Frau","Angestellter",86041.22,152902.855528266,20374.89,0
41,"Frau","Beamter",85644.57,179780.594382772,606.3,0
20,"Mann","Angestellter",42715.52,54305.4001280238,21278.43,0
42,"Mann","Angestellter",29155.39,80597.5536582475,23807.63,1
40,"Mann","Angestellter",87824.38,163255.233668084,8931.85,0
49,"Mann","Selbstständiger",39123.25,88945.5258728734,23806.37,1
33,"Frau","Angestellter",53597.8,256578.744150776,7496.09,0
34,"Frau","Beamter",62663.53,430326.27212564,25763.71,0
55,"Frau","Angestellter",61165,296806.353983087,2963.42,0
58,"Frau","Angestellter",27685.42,74359.7643474077,23809.19,1
53,"Mann","Angestellter",94664.09,322184.871166301,36919.86,0
32,"Mann","Angestellter",89890.32,187024.308844536,53762.13,0
60,"Frau","Angestellter",124313.02,189010.700611559,66383.55,0
34,"Mann","Angestellter",49744.87,98660.7469567971,19225.89,0
57,"Frau","Beamter",103097.84,183743.925606802,35583.84,0
43,"Mann","Angestellter",56779.99,273243.246889613,33670.02,1
35,"Mann","Angestellter",41100.16,106389.047000402,23524.32,1
47,"Frau","Angestellter",51459.44,199921.965231412,21236.92,0
